funcion,linea,instrumento
Melodía,1,Flauta
Melodía,2,Flauta
Melodía,3,Flauta
Melodía,4,Flauta
Melodía,5,Flauta
Melodía,6,Flauta
Melodía,7,Flauta
Melodía,8,Flauta
Melodía,9,Flauta
Melodía,10,Flauta
Melodía,11,Flauta
Melodía,12,Flauta
Armonía,1,Piano
Armonía,2,Piano
Armonía,3,Piano
Armonía,4,Piano
Armonía,5,Piano
Armonía,6,Piano
Armonía,7,Piano
Armonía,8,Piano
Armonía,9,Piano
Armonía,10,Piano
Armonía,11,Piano
Armonía,12,Piano
Bajo,1,Bajo eléctrico
Bajo,2,Bajo eléctrico
Bajo,3,Bajo eléctrico
Bajo,4,Bajo eléctrico
Bajo,5,Bajo eléctrico
Bajo,6,Bajo eléctrico
Bajo,7,Bajo eléctrico
Bajo,8,Bajo eléctrico
Bajo,9,Bajo eléctrico
Bajo,10,Bajo eléctrico
Bajo,11,Bajo eléctrico
Bajo,12,Bajo eléctrico
Percusión,1,campana
Percusión,2,conga
Percusión,3,bombo
Percusión,4,caja 1
Percusión,5,caja 2
Percusión,6,huevo
Percusión,7,caja 3
Percusión,8,tambor 1
Percusión,9,tambor 2
Percusión,10,tambor 3
Percusión,11,triangulo1
Percusión,12,triangulo2